kind,path,dimensions,sha256,source_note
supplementary_workbook,Supplementary_tables.xlsx,-,ae3c2d853c2ffbfd7bb98d61ddd906d66525b30393e7992bd420f083db87359b,Exact 0814 author workbook
composite,figures/Figure1.png,2676x2814,996319588511b1fd25a0699c98be7f0265a6923d496192285a63055f3ca2c736,V4 final composite
composite,figures/Figure2.png,3080x3277,b674bf38dcd9e215adb372d54b0445858a8711054c657a417c71fc2c310555fa,V4 final composite
composite,figures/Figure3.png,3579x3419,5d1337d19b3a63702811d6f0f059a39c59255d321ca9c9f4fa2119fd97db910e,V4 final composite
composite,figures/Figure4.png,5174x3304,e6cdef19933436e7c9da198f46eec6525cc9f015d6f5db04287dc19ab18a1cad,V4 final composite
panel,figures/panels/Figure1a.png,1672x941,db203049f14374baf9e042afd94f001eb47488043652259fd2a4e4c4745c07a6,0814 author export 2026-08-13 16:31:01
panel,figures/panels/Figure1b.png,1642x958,a0f337e2d2d76af399539518f51ac776ae324798239c85ab9a1edc5211978e93,0814 author export 2026-08-13 16:37:04
panel,figures/panels/Figure1c.png,1448x1086,f3cd16baee2ee2651833cb81171efdd85cc4f3c1befe5c5e2b8fb5498bb65d0b,Source package panel d mapped to final V4 panel c
panel,figures/panels/Figure1d.png,1448x1086,0afe91cb2966bad92878643a89816458d9db5c50f35f0efc421542d1c8c6433b,Source package panel e mapped to final V4 panel d
panel,figures/panels/Figure1e.png,1448x1086,0b5f8d452a2962b340652a9074fbd7ca8173461e4f5f616b9e435e46803c28b1,Source package panel f mapped to final V4 panel e
panel,figures/panels/Figure2a.png,1448x1086,f68b4250ba19a30d33923f192c634b7ebdd61d73897c115bbf4c6822c9257427,0814 author export
panel,figures/panels/Figure2b.png,1448x1086,47a1ec8a9f84b81df1a440e5aa592eae94dd6783355505d7ed14ab6e8872c2d9,0814 author export
panel,figures/panels/Figure2c.png,1448x1086,7bd08c2c748ba450706798ad0da8f0304e7700845f443f12c98dd3b7f5e5a996,0814 author export
panel,figures/panels/Figure2d.png,1448x1086,3f1fce2bae10cdc0754f6682d342558709debbc635bd32f3a14d9d5a00bcbd8c,0814 author export
panel,figures/panels/Figure2e.png,1448x1086,37d53e612eaab0a82e710688635e86bfe2922f56a0392a8f4fa1ae51d00895c1,0814 author export
panel,figures/panels/Figure2f.png,1448x1086,adc4dcda0787d17d1ff309820aa560e549bf58f868f830f02412c71f23c634cf,0814 author export
panel,figures/panels/Figure3a.png,1491x1055,5380adc80648a805f1ba94161a0465ab411432805ac9909c3ba87501f0f94abe,0814 author export
panel,figures/panels/Figure3b.png,1055x1491,89304c53942c5c3bacf04cfe3de86d694b94e8d5da224ccc7481df2a7471c580,0814 author export
panel,figures/panels/Figure3c.png,1491x1055,fcec500dfc82633c4c035ac987a2d803b2f5b6104dd21843c236f5125fc0cef9,0814 author export
panel,figures/panels/Figure3d.png,1491x1055,af16b2f22b65cbc4c2189a36d692d0d87c70e2dea1905a63a6df16bbb15667e2,0814 author export
panel,figures/panels/Figure3e.png,1491x1055,58f914562d3f34965dc995851ce8d41fddb658f44ffc5209af8e8f020766fd1e,0814 author export
panel,figures/panels/Figure4a.png,1448x1086,284016347a7b1713ca5099e93cf5a250e195c2f04ed62cf4673719cb22e7e517,0814 author export
panel,figures/panels/Figure4b.png,1448x1086,86d60d75ea38463d2b4f160c4c5b0df7ba1cb1e810ac037aa8ebb4f6c3b35a94,0814 author export
panel,figures/panels/Figure4c.png,1448x1086,8cab093a1d54155053560bd19bd9405c0eff343f856defc221e7dba70e5cccbd,Source package panel d mapped to final V4 panel c
panel,figures/panels/Figure4d.png,1448x1086,52c9213fe2a4d5ce0a2bc4d503e5d84c294e8bb2ad3b37d71ca625f2f2268503,Source package panel e mapped to final V4 panel d
